age,income,loan_amount,employment_years,credit_history,default
56,78053,404111,29,3,0
69,41959,155810,4,1,1
46,25530,297890,11,1,1
32,114856,54377,15,3,0
60,139101,446620,25,1,1
25,23748,321189,25,3,1
38,117504,365032,20,3,0
56,118098,438006,38,4,0
36,33545,374599,35,0,1
40,147659,141672,32,3,0
28,86199,230732,29,2,0
28,54766,360323,36,0,1
41,93530,176836,22,0,1
53,113557,210615,9,0,1
57,81087,50714,4,4,0
41,115839,455051,35,3,0
20,136183,107946,33,4,0
39,88840,376760,30,3,0
19,138451,110983,9,4,0
41,74384,471960,18,4,0
61,71005,192563,31,2,0
47,66576,129123,0,4,0
55,59353,416805,4,1,1
19,82003,310628,3,2,0
38,103211,87989,15,4,0
50,72733,303356,23,0,1
29,85318,310669,15,1,1
39,129953,183274,1,1,1
61,109474,168707,27,1,1
42,43664,330352,31,2,0
66,87172,300972,26,4,0
44,105616,416927,19,4,0
59,145879,270564,23,0,1
45,113264,363896,11,0,1
33,135386,136373,34,1,1
32,46736,443452,32,0,1
64,114209,120294,32,2,0
68,123041,464451,36,4,0
61,132859,452456,11,1,1
69,132181,129019,2,0,1
20,20854,70726,0,2,0
54,110084,146564,32,2,0
68,58623,382812,39,0,1
24,27392,499495,9,4,1
38,75680,273246,28,0,1
26,146354,186408,12,1,1
56,66717,123015,11,0,1
35,139937,221386,30,2,0
21,107092,259079,1,0,1
42,70859,31641,34,4,0
31,145657,170656,22,3,0
67,124095,168817,16,0,1
26,46309,421309,25,4,0
43,107455,464321,7,4,0
19,83734,370890,28,2,0
37,90467,498415,25,4,0
45,72662,450101,9,4,0
64,118506,41631,25,4,0
24,129751,247289,33,4,0
61,138906,77991,6,1,1
25,32688,9014,3,1,1
64,45342,278237,10,2,0
52,57157,23070,28,0,1
31,87863,302921,35,4,0
34,126308,61958,24,0,1
53,72083,87074,20,0,1
67,126081,15729,35,2,0
57,85733,235785,9,4,0
21,109045,181089,36,4,0
19,54698,202392,8,3,0
23,130078,163823,23,0,1
59,100623,110864,34,0,1
21,42671,398002,34,1,1
46,45184,214141,35,3,0
35,113384,372654,17,1,1
43,62107,59748,38,1,1
61,106202,10801,31,1,1
51,129893,155262,23,2,0
27,71663,447905,22,2,0
53,35708,240362,31,1,1
31,111906,449209,36,3,0
48,69811,34592,11,0,1
65,22811,277791,12,3,1
32,76250,144788,22,4,0
25,132547,224963,24,2,0
31,92082,485761,34,0,1
40,144249,253710,29,0,1
57,54754,225984,16,4,0
38,115742,377771,19,4,0
33,126642,337460,24,1,1
62,31411,263067,21,2,1
35,22911,269512,12,2,1
64,87270,82575,18,3,0
41,103763,273799,35,1,1
43,28680,242549,11,1,1
42,104896,75031,18,1,1
62,103879,474645,11,1,1
58,91295,489299,8,2,0
46,108614,92922,6,2,0
32,120689,453982,27,1,1
62,31111,129046,13,3,0
18,57504,411619,30,0,1
42,21802,37097,18,0,1
24,28155,476873,15,3,1
26,93656,147038,4,1,1
41,59384,129862,34,2,0
18,132561,235229,11,0,1
61,67254,123834,24,4,0
25,41918,98848,20,4,0
41,105981,57921,35,3,0
28,80713,185798,22,1,1
68,50306,131141,15,0,1
34,36646,186372,38,1,1
25,66843,289821,38,0,1
52,140975,60609,13,3,0
52,116601,232897,30,3,0
50,110735,454877,4,4,0
22,127512,36024,34,1,1
59,36371,75313,22,4,0
56,97371,394957,28,1,1
58,131472,189078,10,4,0
45,22049,362429,17,2,1
24,51616,413554,11,2,0
26,123727,466243,8,2,0
25,132893,490988,9,2,0
29,146603,118632,16,0,1
51,40932,478351,37,2,0
50,137796,417724,6,3,0
65,49855,256451,12,3,0
40,81434,8051,39,0,1
41,92694,184819,8,2,0
54,63016,381836,26,2,0
52,27400,485358,1,2,1
61,137858,92235,4,4,0
57,62642,452237,28,1,1
39,35151,202484,36,4,1
44,71407,194407,37,1,1
52,86690,454395,18,2,0
18,24499,430309,7,2,1
52,26295,467894,0,4,1
54,140885,216810,21,4,0
64,146071,437950,16,1,1
31,79040,208687,6,3,0
20,32183,78523,24,1,1
18,49299,241175,3,4,0
22,32874,99476,35,4,0
43,136336,238841,5,0,1
31,52711,284163,30,4,0
56,25539,350757,18,0,1
44,127941,227866,38,3,0
26,73351,91672,26,1,1
32,81267,78847,9,1,1
32,143133,349894,25,0,1
43,68354,215706,18,1,1
59,146063,33251,38,4,0
30,22557,108481,2,2,0
68,58360,379710,12,0,1
49,102018,30945,27,1,1
56,22200,357996,19,0,1
66,132476,37217,27,0,1
69,88497,13308,7,2,0
49,66975,273093,38,4,0
21,41357,188062,0,0,1
47,139121,399366,2,1,1
54,97505,225552,12,3,0
40,22869,105235,27,0,1
56,146114,79740,24,0,1
62,81135,383496,32,2,0
32,70108,333761,37,4,0
60,132296,230913,5,3,0
46,114179,284040,31,1,1
53,110272,397942,20,3,0
30,58467,182247,15,1,1
49,43328,143877,20,4,0
24,139181,10237,10,1,1
68,111412,25056,36,2,0
39,106831,181615,35,2,0
45,23987,192628,34,2,0
19,78871,119548,18,2,0
59,42399,378632,19,3,0
62,148391,139415,17,4,0
23,66214,411716,13,1,1
45,119522,451438,14,1,1
45,106416,34375,30,2,0
61,90271,145734,0,2,0
61,64064,21964,2,0,1
37,145615,118429,15,4,0
47,90091,257764,22,3,0
28,127450,195710,10,1,1
45,60818,471882,11,0,1
42,65525,221139,9,0,1
56,39830,72215,31,1,1
50,37429,336186,15,3,1
18,26893,149356,7,0,1
44,136381,208861,37,0,1
69,99909,482880,11,4,0
30,67333,360612,23,3,0
58,23436,459605,27,0,1
20,94290,14435,7,3,0
56,96213,452556,27,1,1
